"Coord";"Contr";"Cos2";"Coord.1";"Contr.1";"Cos2.1";"Coord.2";"Contr.2";"Cos2.2";"Coord.3";"Contr.3";"Cos2.3";"Coord.4";"Contr.4";"Cos2.4"
"P13_ACT1564";0.988567823470359;4.2809185818203;0.977266341600924;-0.0686890001189893;0.172236243578897;0.00471817873734652;-0.0911365987696336;0.564566704103363;0.00830587963529718;0.0392608440746985;0.119563186338256;0.00154141387745779;-0.0324233314367837;0.172228954414879;0.00105127242145952
"ETAZ14";0.114802015864389;0.0577328577002121;0.0131795028465275;0.756884726352186;20.9126774371601;0.572874488985224;-0.368379995536247;9.22405120024227;0.135703821111285;0.0750002011966144;0.436317942474336;0.00562503017953264;0.289829139819623;13.7617919943092;0.0840009302885828
"ETBE14";0.931429049373688;3.80034989808555;0.867560074017173;0.257915573908773;2.42831649814885;0.0665204432646918;0.0541837900232513;0.199557653000499;0.00293588310128379;0.0187130597044364;0.0271623800943121;0.000350178603501802;0.00703232811420391;0.00810194228674813;4.94536387058228e-05
"ETFZ14";0.929149370570002;3.78176989989089;0.863318552830632;0.0459331009851899;0.0770196761210332;0.00210984976611565;0.235146295725407;3.75842520296635;0.0552937803933804;-0.115309191529145;1.03134999324744;0.0132962096511051;0.10513263471365;1.81078125555505;0.0110528708818337
"ETGU14";0.973263694631967;4.14939781042155;0.947242219288667;-0.0175972802786939;0.0113042371128448;0.000309664273206911;0.152482082679915;1.5804008648822;0.0232507855384044;0.0409228284020998;0.129900104625124;0.0016746778844277;0.00974500048706577;0.0155580306900659;9.49650344929122e-05
"ETGZ14";0.97871905546264;4.19604478519252;0.957890989525683;0.0598279246541995;0.130664626705547;0.00357938056842857;0.0935264893765222;0.594564389405518;0.00874720421509672;-0.0901479715441932;0.630362157971125;0.00812665677353267;0.0113022500378209;0.0209276621374456;0.000127740855917422
"ETOQ14";0.963855495636474;4.06956399877662;0.929017416468633;0.141802205155196;0.734033912961395;0.0201078653868764;0.0782450803284642;0.416144069505898;0.00612229259560783;0.02822128171298;0.0617776926617465;0.000796440741523381;-0.0232425661594701;0.0885032145705703;0.000540216881677345
"ETTEF114";0.984905455995388;4.24925812362723;0.970038757249484;0.0862401710671128;0.2714997128576;0.00743736710568487;0.0630335729366549;0.270068217680036;0.00397323131716059;0.0124142237814117;0.0119541129594987;0.000154112952094968;0.0190670872548276;0.0595606737046225;0.00036355381638321
"ETTEFP1014";0.986968017844784;4.2670741173934;0.974105868248463;-0.00153115247414927;8.55829075497272e-05;2.34442789909342e-06;-0.061654729568439;0.258382099457176;0.00380130567815734;0.069015640389829;0.369464963162171;0.00476315861841819;-0.0383054029893431;0.240386992974545;0.00146730389817597
"SUPERF_MOY";-0.148362883981839;0.0964216503361957;0.0220115453434085;0.501390022937174;9.17701690057033;0.25139195510094;0.617597395191745;25.9262998549282;0.381426542547629;-0.089518183236448;0.62158529976095;0.00801350512995428;-0.470132205147789;36.210197894052;0.221024290317123
"DENSITY13";0.422341603805727;0.78136104649532;0.178372430305194;-0.668257737822473;16.3018971334542;0.446568404159609;0.0791963904669595;0.426324611315387;0.00627206826299511;0.00297081046406982;0.000684586145381281;8.82571481342675e-06;0.116533255250967;2.22479833083147;0.013579999579387
"POP0813";0.729904230298578;2.33375783067483;0.532760185407759;0.0571767134320849;0.119340686617753;0.00326917655889476;0.157298477817732;1.68181672980651;0.0247428111237756;0.267321228856715;5.54300299814438;0.0714606393974642;0.334116635777509;18.2888792780739;0.111633926303281
